Date,Day,Whiskey
02/20/22,Sunday,Eagle Rare
02/21/22,Monday,W.L. Weller Special Reserve
02/22/22,Tuesday,Eagle Rare
02/23/22,Wednesday,Blanton’s
02/24/22,Thursday,Eagle Rare
02/25/22,Friday,"E.H. Taylor, Jr. Small Batch"
02/26/22,Saturday,Blanton’s
02/27/22,Sunday,Eagle Rare
02/28/22,Monday,Sazerac Rye
03/01/22,Tuesday,W.L. Weller Special Reserve
03/02/22,Wednesday,Blanton’s
03/03/22,Thursday,"E.H. Taylor, Jr. Small Batch"
03/04/22,Friday,W.L. Weller Special Reserve
03/05/22,Saturday,"E.H. Taylor, Jr. Small Batch"
03/06/22,Sunday,Eagle Rare
03/07/22,Monday,Blanton’s
03/08/22,Tuesday,"E.H. Taylor, Jr. Small Batch"
03/09/22,Wednesday,Sazerac Rye
03/10/22,Thursday,Blanton’s
03/11/22,Friday,W.L. Weller Special Reserve
03/12/22,Saturday,Eagle Rare
03/13/22,Sunday,"E.H. Taylor, Jr. Small Batch"
03/14/22,Monday,Eagle Rare
03/15/22,Tuesday,Blanton’s
03/16/22,Wednesday,"E.H. Taylor, Jr. Small Batch"
03/17/22,Thursday,W.L. Weller Special Reserve
03/18/22,Friday,Blanton’s
03/19/22,Saturday,Sazerac Rye
03/20/22,Sunday,Eagle Rare
03/21/22,Monday,"E.H. Taylor, Jr. Small Batch"
03/22/22,Tuesday,Sazerac Rye
03/23/22,Wednesday,W.L. Weller Special Reserve
03/24/22,Thursday,Blanton’s
03/25/22,Friday,Eagle Rare
03/26/22,Saturday,"E.H. Taylor, Jr. Small Batch"
03/27/22,Sunday,Sazerac Rye
03/28/22,Monday,Eagle Rare
03/29/22,Tuesday,"E.H. Taylor, Jr. Small Batch"
03/30/22,Wednesday,Blanton’s
03/31/22,Thursday,"E.H. Taylor, Jr. Small Batch"
04/01/22,Friday,W.L. Weller Special Reserve
04/02/22,Saturday,Blanton’s
04/03/22,Sunday,Eagle Rare
04/04/22,Monday,Eagle Rare
04/05/22,Tuesday,W.L. Weller Special Reserve
04/06/22,Wednesday,Blanton’s
04/07/22,Thursday,W.L. Weller Special Reserve
04/08/22,Friday,"E.H. Taylor, Jr. Small Batch"
04/09/22,Saturday,Blanton’s
04/10/22,Sunday,Eagle Rare
04/11/22,Monday,W.L. Weller Special Reserve
04/12/22,Tuesday,Sazerac Rye
04/13/22,Wednesday,Eagle Rare
04/14/22,Thursday,W.L. Weller Special Reserve
04/15/22,Friday,Blanton’s
04/16/22,Saturday,"E.H. Taylor, Jr. Small Batch"
04/17/22,Sunday,CLOSED
04/18/22,Monday,Sazerac Rye
04/19/22,Tuesday,W.L. Weller Special Reserve
04/20/22,Wednesday,Blanton’s
04/21/22,Thursday,Eagle Rare
04/22/22,Friday,Blanton’s
04/23/22,Saturday,"E.H. Taylor, Jr. Small Batch"
04/24/22,Sunday,W.L. Weller Special Reserve
04/25/22,Monday,"E.H. Taylor, Jr. Small Batch"
04/26/22,Tuesday,Blanton’s
04/27/22,Wednesday,Eagle Rare
04/28/22,Thursday,"E.H. Taylor, Jr. Small Batch"
04/29/22,Friday,W.L. Weller Special Reserve
04/30/22,Saturday,Eagle Rare
05/01/22,Sunday,Blanton’s
05/02/22,Monday,Eagle Rare
05/03/22,Tuesday,W.L. Weller Special Reserve
05/04/22,Wednesday,Blanton’s
05/05/22,Thursday,W.L. Weller Special Reserve
05/06/22,Friday,Blanton’s
05/07/22,Saturday,"E.H. Taylor, Jr. Small Batch"
05/08/22,Sunday,Blanton’s
05/09/22,Monday,W.L. Weller Special Reserve
05/10/22,Tuesday,Blanton’s
05/11/22,Wednesday,Eagle Rare
05/12/22,Thursday,Blanton’s
05/13/22,Friday,"E.H. Taylor, Jr. Small Batch"
05/14/22,Saturday,Blanton’s
05/15/22,Sunday,Sazerac Rye
05/16/22,Monday,Eagle Rare
05/17/22,Tuesday,Blanton’s
05/18/22,Wednesday,Sazerac Rye
05/19/22,Thursday,Blanton’s
05/20/22,Friday,W.L. Weller Special Reserve
05/21/22,Saturday,"E.H. Taylor, Jr. Small Batch"
05/22/22,Sunday,Eagle Rare
05/23/22,Monday,Blanton’s
05/24/22,Tuesday,Eagle Rare
05/25/22,Wednesday,W.L. Weller Special Reserve
05/26/22,Thursday,Blanton’s
05/27/22,Friday,"E.H. Taylor, Jr. Small Batch"
05/28/22,Saturday,Eagle Rare
05/29/22,Sunday,W.L. Weller Special Reserve
05/30/22,Monday,"E.H. Taylor, Jr. Small Batch"
05/31/22,Tuesday,Eagle Rare
06/01/22,Wednesday,Blanton’s
06/02/22,Thursday,"E.H. Taylor, Jr. Small Batch"
06/03/22,Friday,W.L. Weller Special Reserve
06/04/22,Saturday,"E.H. Taylor, Jr. Small Batch"
06/05/22,Sunday,Eagle Rare
06/06/22,Monday,Blanton’s
06/07/22,Tuesday,W.L. Weller Special Reserve
06/08/22,Wednesday,Eagle Rare
06/09/22,Thursday,Blanton’s
06/10/22,Friday,"E.H. Taylor, Jr. Small Batch"
06/11/22,Saturday,Blanton’s
06/12/22,Sunday,Sazerac Rye
06/13/22,Monday,Eagle Rare
06/14/22,Tuesday,Blanton’s
06/15/22,Wednesday,"E.H. Taylor, Jr. Small Batch"
06/16/22,Thursday,Blanton’s
06/17/22,Friday,W.L. Weller Special Reserve
06/18/22,Saturday,"E.H. Taylor, Jr. Small Batch"
06/19/22,Sunday,Sazerac Rye
06/20/22,Monday,W.L. Weller Special Reserve
06/21/22,Tuesday,Blanton’s
06/22/22,Wednesday,Eagle Rare
06/23/22,Thursday,"E.H. Taylor, Jr. Small Batch"
06/24/22,Friday,Blanton’s
06/25/22,Saturday,Eagle Rare
06/26/22,Sunday,"E.H. Taylor, Jr. Small Batch"
06/27/22,Monday,Blanton’s
06/28/22,Tuesday,Eagle Rare
06/29/22,Wednesday,Blanton’s
06/30/22,Thursday,W.L. Weller Special Reserve
07/01/22,Friday,Eagle Rare
07/02/22,Saturday,"E.H. Taylor, Jr. Small Batch"
07/03/22,Sunday,Blanton’s
07/04/22,Monday,None
07/05/22,Tuesday,W.L. Weller Special Reserve
07/06/22,Wednesday,Blanton’s
07/07/22,Thursday,W.L. Weller Special Reserve
07/08/22,Friday,"E.H. Taylor, Jr. Small Batch"
07/09/22,Saturday,Eagle Rare
07/10/22,Sunday,Blanton’s
07/11/22,Monday,"E.H. Taylor, Jr. Small Batch"
07/12/22,Tuesday,Blanton’s
07/13/22,Wednesday,Eagle Rare
07/14/22,Thursday,"E.H. Taylor, Jr. Small Batch"
07/15/22,Friday,Blanton’s
07/16/22,Saturday,W.L. Weller Special Reserve
07/17/22,Sunday,Eagle Rare
07/18/22,Monday,W.L. Weller Special Reserve
07/19/22,Tuesday,Eagle Rare
07/20/22,Wednesday,Blanton’s
07/21/22,Thursday,Eagle Rare
07/22/22,Friday,Blanton’s
07/23/22,Saturday,"E.H. Taylor, Jr. Small Batch"
07/24/22,Sunday,W.L. Weller Special Reserve
07/25/22,Monday,Blanton’s
07/26/22,Tuesday,W.L. Weller Special Reserve
07/27/22,Wednesday,Sazerac Rye
07/28/22,Thursday,Blanton’s
07/29/22,Friday,"E.H. Taylor, Jr. Small Batch"
07/30/22,Saturday,Eagle Rare
07/31/22,Sunday,Blanton’s
08/01/22,Monday,"E.H. Taylor, Jr. Small Batch"
08/02/22,Tuesday,Eagle Rare
08/03/22,Wednesday,W.L. Weller Special Reserve
08/04/22,Thursday,Eagle Rare
08/05/22,Friday,Blanton’s
08/06/22,Saturday,Sazerac Rye
08/07/22,Sunday,"E.H. Taylor, Jr. Small Batch"
08/08/22,Monday,Eagle Rare
08/09/22,Tuesday,Blanton’s
08/10/22,Wednesday,"E.H. Taylor, Jr. Small Batch"
08/11/22,Thursday,W.L. Weller Special Reserve
08/12/22,Friday,Blanton’s
08/13/22,Saturday,Eagle Rare
08/14/22,Sunday,"E.H. Taylor, Jr. Small Batch"
08/15/22,Monday,Eagle Rare
08/16/22,Tuesday,Blanton’s
08/17/22,Wednesday,Eagle Rare
08/18/22,Thursday,Blanton’s
08/19/22,Friday,"E.H. Taylor, Jr. Small Batch"
08/20/22,Saturday,W.L. Weller Special Reserve
08/21/22,Sunday,Blanton’s
08/22/22,Monday,"E.H. Taylor, Jr. Small Batch"
08/23/22,Tuesday,W.L. Weller Special Reserve
08/24/22,Wednesday,Eagle Rare
08/25/22,Thursday,"E.H. Taylor, Jr. Small Batch"
08/26/22,Friday,Eagle Rare
08/27/22,Saturday,W.L. Weller Special Reserve
